Title,Description,URL
中國-工業生產者出廠價格[PPI] | 中國-物價 | 圖組 | MacroMicro 財經M平方,"中國工業生產者出廠價格（Producer Price Index for Industrial Products, PPI），從生產者角度反映全部工業產品第一次出售時出廠價格的價格變動，統計範圍包含 1638 個基本分類的 2 萬多種工業產品的價格。主要分為生產資料（採掘、原材料、加工）和生活資料（食品、衣著、一般日用品、耐用消費品）兩大類構，其中生產資料權重約為 75%、生活資料權重約為 25%。 PPI 調查採取重點調查與典型調查相結合的調查方法，涉及 5 萬家以上工業企業。

PPI 年增率就是觀察企業所有工業產品出廠的價格長期趨勢變化，由於生產資料權重占比高，容易受到國際原物料價格走勢影響。 PPI 價格變動一方面反映工業品需求強弱，一方面影響工業企業的利潤變化與投資意願，因此 PPI 年增率高低也反映中國工業經濟活躍程度。

當 PPI 年增率上升，表示工業品價格上升，需求轉強，有助工業企業利潤上升、投資意願轉強；反之，當 PPI 年增率下降，工業企業利潤下降、投資意願轉弱。
",https://www.macromicro.me/collections/24/cn-price-relative/12049/cn-ppi
中國-社會融資增量細項 | 中國-市場指標 | 圖組 | MacroMicro 財經M平方,"社會融資規模增量，是指一定時期內實體經濟（境內非金融企業和住戶）從金融體系獲得的資金額，由人民幣貸款 + 外幣貸款 + 委託貸款 + 信託貸款 + 未貼現銀行承兌票 + 企業債券 + 地方政府專項債 + 非金融企業境内股票組成。

社融與 M2 的差異：
1. 社會融資為金融機構的「資產端」，可大體反映市場的融資需求和金融機構放貸意願。
2. M2 為金融機構的「負債端」，主體為銀行的存款，反映的是實體經濟的流動性多寡。

註 1：2019 年 12 月將國債和地方政府一般債券納入社會融資規模統計，與原有地方政府專項債券合併為政府債券指標。
註 2：2018 年 9 月起地方政府專項債券納入統計。
註 3：社會融資增量通常在季底時會有季節性的增長。",https://www.macromicro.me/collections/31/cn-finance-relative/41098/cn-total-social-financing-subindices
中國-月度經濟數據-工業增加值 | 中國-製造/服務 | 圖組 | MacroMicro 財經M平方,"中國工業增加值，與固定資產投資、社會零售銷售及房市數據，在每個月的中旬同時由統計局公佈，為「月度經濟數據」中最關鍵的硬數據之一。

中國工業增加值，即工業企業在生產活動最後的成果，是用來反映一定時期內，工業生產物量增減變動程度的指標，統計範圍為年主營業務收入 2000 萬元及以上的工業企業。

工業增加值為中國 GDP 的重要組成( 約佔 30％)，是觀察中國整體景氣的重要經濟指標。工業增加值的公式如下：

工業增加值 = 工業總產出-工業中間投入+應繳增值稅

工業企業包含原料工業、加工工業、裝配工業等，即一般常聽到的重工業和輕工業的總和。

註 ：2 月數據為 1、 2 月累計。",https://www.macromicro.me/collections/25/cn-industry-relative/229/cn-value-added-of-industry-pmi
中國-房價vs.融資環境 | 中國-房地產 | 圖組 | MacroMicro 財經M平方,"影響房市景氣的關鍵因素之一為融資環境，因此利率為觀察房價的先行指標。

當市場資金緊縮，市場利率上升、貸款成本高，房價容易下跌。
當市場資金寬鬆，市場利率下降、貸款成本低，房價容易上升。",https://www.macromicro.me/collections/26/cn-house-relative/2238/china-realestate-shibor
中國-社會融資規模增量 | 中國-市場指標 | 圖組 | MacroMicro 財經M平方,"社會融資規模增量是指一定時期內實體經濟（境內非金融企業和住戶）從金融體系獲得的資金額，由人民幣貸款 + 外幣貸款 + 委託貸款 + 信託貸款 + 未貼現銀行承兌票 + 企業債券 + 地方政府專項債券融 + 非金融企業境内股票所組成

社融與 M2 的差異：
1. 社會融資為金融機構的「資產端」，可大體反映市場的融資需求和金融機構放貸意願。
2. M2 為金融機構的「負債端」，主體為銀行的存款，反映的是實體經濟的流動性多寡

註 1：2019 年 12 月將國債和地方政府一般債券納入社會融資規模統計，與原有地方政府專項債券合併為政府債券指標。
註 2：2018 年 9 月起地方政府專項債券納入統計。
註 3：社會融資增量通常在季底時會有季節性的增長。",https://www.macromicro.me/collections/31/cn-finance-relative/8685/cn-total-social-financing
Title not found,Meta description not found,https://www.macromicro.me//www.macromicro.me/collections/22/cn-gdp-relative/21469/cn-the-urban-surveyed-unemployment-rate
中國-進出口vs.貿易差額 | 中國-對外貿易 | 圖組 | MacroMicro 財經M平方,中國外貿相關數據，包括進出口額、新出口訂單、集裝箱運價指數、香港商品進出口等。,https://www.macromicro.me/collections/27/cn-trade-finance-relative
中國-LPR利率互換 | 中國-市場指標 | 圖組 | MacroMicro 財經M平方,在 2019 年人行引進新的 LPR 定價基準後，也陸續推出與 LPR 利率掛鉤的衍生性商品，做為企業和銀行對沖利率風險的工具，包括 LPR Swap 、 LPR 交換選擇權等，其中利率互換又是交易最活躍的利率衍生品之一，因此 LPR 互換利率可作為市場交易者預期未來央行升息 / 降息的指標。,https://www.macromicro.me/collections/31/cn-finance-relative/43733/china-lpr-irs
中國-銀行信貸投放情況-房地產領域 | 中國-市場指標 | 圖組 | MacroMicro 財經M平方,人民銀行每季定期公佈商業銀行的信貸投放數據，其中包含工業、農業、基建、房地產及服務業，是觀察信貸資金流向細節的重要指標。本圖主要聚焦銀行對房地產部門的信貸投放情況。,https://www.macromicro.me/collections/31/cn-finance-relative/96894/china-bank-credit-real-estate-resident-housing-mortgage-loan
Title not found,Meta description not found,https://www.macromicro.me//en.macromicro.me/collections/23/cn-consumption
