Title,Description,URL
英國-央行GDP季度預測 | 歐洲-GDP綜合指標 | 圖組 | MacroMicro 財經M平方,"英國央行在每年 2 月、 5 月、 8 月、 11 月公佈的「貨幣政策報告」更新對於英國經濟的預測，由於英國的貨幣政策與經濟狀況息息相關，因此我們可以從英國央行對於未來的 GDP 預期，推測未來英國貨幣政策的走向。

註：本圖所呈現的 GDP 數據以英國央行最新公佈的預測為準。",https://www.macromicro.me/collections/35/eu-gdp-relative/49687/uk-gdp-boe-forecast
法國-經濟信心指數 | 歐洲-經濟信心指數 | 圖組 | MacroMicro 財經M平方,"法國經濟信心指數代表法國企業及消費者對景氣的看法：

指數在 100 以上，代表各界對景氣看法「樂觀者」比例較多；指數在 100 以下，代表各界對景氣看法「悲觀者」比例較多。",https://www.macromicro.me/collections/36/eu-economic-sentiment-relative/426/eu-fr-france-economic-sentiment
義大利-消費者物價指數 | 歐洲-物價 | 圖組 | MacroMicro 財經M平方,"義大利調和消費者物價指數反映義大利整體通貨膨脹的壓力，而核心調和消費者物價指數則另外扣除食物、菸酒和能源等波動較大的細項。

以下為各個主要項目權重：

1. 食物、菸酒：19 ~ 21%
2. 商品：26 ~ 28%
3. 能源：8 ~ 10%
4. 服務：42 ~ 44%",https://www.macromicro.me/collections/38/eu-price-relative/452/eu-it-italy-hicp-consumer-price-index
義西荷-失業率 | 歐洲-消費/就業 | 圖組 | MacroMicro 財經M平方,義大利、西班牙、荷蘭為歐盟中經濟體排名第四至第六名的國家。其中，義大利、西班牙屬於失業率相對較高的國家。,https://www.macromicro.me/collections/37/eu-consumption-relative/528/eu-el-it-es-unemployment-rate
英國-GDP內涵占比 | 歐洲-GDP綜合指標 | 圖組 | MacroMicro 財經M平方,英國為世界第六大經濟體，是以服務業為導向的高度發展國家，同時也屬於內需消費型國家，消費占整體 GDP 總值約 65% 。,https://www.macromicro.me/collections/35/eu-gdp-relative/412/uk-united-kingdom-gdp-items-weight
Title not found,Meta description not found,https://www.macromicro.me//en.macromicro.me/collections/40/eu-trade-relative
ZEW經濟景氣指數 | 歐洲-經濟信心指數 | 圖組 | MacroMicro 財經M平方,"ZEW 經濟景氣指數由位於德國的歐洲經濟研究中心（ZEW）訪問超過 300 名來自銀行、保險公司、特定產業財務部門的專業人士，針對未來六個月的通膨、利率、匯率、股市和油價等五個項目進行評估，其數值反映分析師對市場預測樂觀與悲觀的比例，通常於每個月第 3 週公佈最新數據。

指數大於 0 ，則表示市場普遍「樂觀」；指數小於 0 ，則表示市場普遍「悲觀」。",https://www.macromicro.me/collections/36/eu-economic-sentiment-relative/951/zew-economic-sentiment
德國-經濟信心指數細項 | 歐洲-經濟信心指數 | 圖組 | MacroMicro 財經M平方,"德國經濟信心指數由五大指數組成：工業信心、服務業信心、消費者信心、營建信心、零售貿易信心。

指數在 0 以上，代表該細項為整體經濟信心指數提供「正貢獻」；指數在 0 以下，代表該係項為整體經濟信心指數提供「負貢獻」。

其中，德國各細項占歐洲區權重如下：

1. 工業信心：26 ~ 28%
2. 服務業信心：17 ~ 18%
3. 消費者信心：18 ~ 19%
4. 零售貿易信心：18 ~ 20%
5. 營建信心：17 ~ 18%",https://www.macromicro.me/collections/36/eu-economic-sentiment-relative/423/eu-de-germany-economic-sentiment
Title not found,Meta description not found,https://www.macromicro.me//www.macromicro.me/collections/37/eu-consumption-relative
歐元區-經濟信心指數-價格趨勢 | 歐洲-經濟信心指數 | 圖組 | MacroMicro 財經M平方,"歐元區經濟信心指數為歐盟每月針對各項產業的經濟調查，由五大指數組成：工業信心、服務業信心、消費者信心、營建信心、零售貿易信心。本圖呈現各個指數中，有關價格預期或者售價預期相關數據。

",https://www.macromicro.me/collections/36/eu-economic-sentiment-relative/63612/ea-economic-sentiment-price-trends-expectations
歐元區-央行緊急疫情資產購買計畫淨購買量 | 歐洲-市場指標 | 圖組 | MacroMicro 財經M平方,"緊急疫情資產購買計畫（PEPP）是歐洲央行（ECB）在肺炎疫情時推出的 QE 工具，總購買額度由歐洲央行利率決議會議時調整。
",https://www.macromicro.me/collections/43/eu-market-relative/25340/ecb-pepp
歐元區-家計單位放貸 | 歐洲-市場指標 | 圖組 | MacroMicro 財經M平方,"歐元區家計單位放貸是目前歐元區整體以家庭為單位的資金需求量。

一般而言，家計單位放貸若處在正成長，就有望帶動房價及物價通膨的成長；反之，若處在負成長，則房價及物價通膨的成長可能出現衰退。",https://www.macromicro.me/collections/43/eu-market-relative/514/eu-ea19-euro-area-loans-to-household
Title not found,Meta description not found,https://www.macromicro.me//www.macromicro.me/collections/36/eu-economic-sentiment-relative/951/zew-economic-sentiment
德國-零售銷售 | 歐洲-消費/就業 | 圖組 | MacroMicro 財經M平方,雖然德國是以製造出口為導向的國家，但消費在 GDP 占比仍超過五成 ，因此零售銷售對於德國整體經濟仍有一定影響。,https://www.macromicro.me/collections/37/eu-consumption-relative/435/eu-de-germany-retail-sales
